repeat,method,noise_mult,pi_s,rank,mape,aic,rss,beta_ranks,beta_dim
3,baseline,10,0.3,"[4, 4, 5]",0.05928960127142772,-117.16165786730986,0.06375585233724773,"(3, 4, 4)",48.0
3,baseline,10,0.3,"[5, 5, 6]",0.27850788531319387,117.70871795898864,1.3433215282067923,"(5, 4, 5)",100.0
3,baseline,10,0.3,"[6, 6, 7]",0.8222050830039398,305.386788724382,13.32683687152762,"(5, 5, 6)",150.0
3,baseline,10,0.3,"[7, 7, 9]",0.26576570201182287,264.7699477901523,1.2371773611055086,"(6, 6, 7)",252.0
3,baseline,10,0.3,"[8, 8, 9]",0.512528878212586,435.0267070566915,4.635659384580081,"(7, 7, 7)",343.0
3,baseline,10,0.3,"[9, 9, 11]",0.6271732902249678,620.1797216969106,6.933250112404265,"(8, 7, 9)",504.0
3,baseline,10,0.3,"[10, 10, 11]",0.48209391864086365,655.2956394929196,3.7493931174865898,"(8, 8, 9)",576.0
4,clean,0,0.0,"[2, 2, 3]",0.09010199277764284,-107.2408867777762,0.1370584073530737,"(2, 2, 3)",12.0
4,clean,0,0.0,"[3, 3, 4]",0.0729197749380806,-126.44245487419894,0.09005143716055802,"(3, 3, 2)",18.0
4,clean,0,0.0,"[4, 4, 5]",0.07109384555872339,-118.44063124181451,0.08856570963704988,"(3, 3, 3)",27.0
4,clean,0,0.0,"[5, 5, 6]",0.14368039945844052,17.543034840195446,0.35311926450252634,"(4, 4, 5)",80.0
4,clean,0,0.0,"[6, 6, 7]",4.771112680009879,550.844387004882,483.3493979899258,"(5, 6, 6)",180.0
4,clean,0,0.0,"[7, 7, 9]",5.4134062897088455,639.2141726255095,634.9647869661629,"(6, 6, 7)",252.0
4,clean,0,0.0,"[8, 8, 9]",26.69360501617937,962.0938245881835,13380.634353533878,"(7, 7, 8)",392.0
4,clean,0,0.0,"[9, 9, 11]",8.309869678260304,1011.887725826583,1429.093248883667,"(8, 8, 9)",576.0
4,clean,0,0.0,"[10, 10, 11]",7.322356981623255,1140.410616371588,950.3626097040674,"(9, 9, 9)",729.0
4,baseline,2,0.1,"[2, 2, 3]",,inf,,None,
4,baseline,2,0.1,"[3, 3, 4]",0.07020808356476846,-134.13797531878208,0.08754232205027848,"(2, 2, 3)",12.0
4,baseline,2,0.1,"[4, 4, 5]",0.092014427043266,-74.36044703734768,0.15892215561820416,"(3, 3, 4)",36.0
4,baseline,2,0.1,"[5, 5, 6]",3.2811756836937347,425.2208581015633,225.95765964700982,"(4, 5, 5)",100.0
4,baseline,2,0.1,"[6, 6, 7]",1.6531346585154567,397.6643313294245,62.03748849681236,"(5, 5, 6)",150.0
4,baseline,2,0.1,"[7, 7, 9]",19.195742901322692,789.5170125057083,7774.59678377678,"(6, 6, 7)",252.0
4,baseline,2,0.1,"[8, 8, 9]",4.170235617527231,643.7343468318998,339.9864556630801,"(7, 6, 7)",294.0
4,baseline,2,0.1,"[9, 9, 11]",43.52904830530937,1127.5564831605209,32617.62458393531,"(8, 7, 9)",504.0
